"","req","item_req","texto_req","grupo_mercadoria","nm","valor_estimado","oportunidade","item_oportunidade"
"2343","0030582802",10,"Cabo potência 1kV 1x 50mm² PVC/A ST1","26121629","000000000010060535",87.3,"7003401951",7
"2344","0030596647",10,"transm.multiv. digital 8a30Vcc","41111900C","000000000011911828",32725.49,"7003406001",5
"2345","0030311499",10,"Cartão p/AEI Biffi","31251500A","000000000011706263",8476.68,"7003661255",3
"2346","0030917245",20,"Tubo AC A106-B s/c 3""x0.438"" Sch160","40142101","000000000010000394",290.82,"7003741172",1
"2347","0031164801",10,"Válvula gav. 18"" 300# FR WCB","40141613","000000000010618479",192818.97,"7003655205",6
"2348","0030311459",10,"Fonte alim. p/AEI Biffi","31251500A","000000000011257093",5893.75,"7003661255",2
"2349","0030737143",10,"Atuador pneum. linear curso 4""","31251504","000000000011627083",0.01,"7003661255",4
"2350","0031451608",10,"Atuador intel. 1/4 volta 2000Nm","31251501","000000000010587652",50729.14,"7003661255",13
"2351","0029576816",10,"Sensor de ruptura","40142323","000000000012015950",9400.78,NA,0
"2352","0029576816",20,"Sensor de ruptura","40142323","000000000012015950",24803.39,"7003362123",6
"2353","0027926974",10,"Válv. solenóide 5vias","40141605","000000000010754399",10887.02,"7003465417",1
"2354","0028922914",10,"Válv. solenóide manifold 3/2 vias","40141605","000000000012222954",16229.08,NA,0
"2355","0030468243",10,"Válv. solenóide RO 1/4""NPT-F 3/2 vias","40141605","000000000011367593",2773.78,"7003465417",11
"2356","0029683444",10,"Contator vácuo 400A 3000kVA 110-130Vca/V","39121529C","000000000010961549",42415.81,"7003423254",1
"2357","0029420585",10,"Motor el. 3F 2p 30kW 440V Ex de","26101114","000000000012511331",79766.71,"7003425564",1
"2358","0030313071",10,"Motor el. 3F 4p 22kW 440V Ex nA","26101114","000000000011043179",35704.42,NA,0
"2359","0030843935",10,"Válv glb-ang Y 1 1/2"" ES A182 F22","40141617","000000000010612239",11408.93,"7003708085",2
"2360","0031541423",10,"Transm.vazão ultrasôn. configurável","41112516","000000000012150736",68464.47,"7003708087",4
"2361","0031495674",10,"Motor el. 3F 4p 150kW 2,3kV Ex nA","26101114","000000000012728084",322092.64,NA,0
"2362","0031609542",10,"Painel CDC BT 3F AL s/Cu 480V","39121101","000000000010733845",6822.59,"7003709580",2
"2363","0031239675",10,"Monitor Stress área 6""","41113607","000000000011194230",15227.85,"7003708920",1
"2364","0029681467",10,"Tampa 20pol polietileno","40142004A","000000000012516352",100,"7003476720",1
"2365","0029234625",10,"Lumin. LED 150W 100-277Vca Ex nC","39111501A","000000000011996372",1563.37,NA,0
